3884,12416,9112,-5048,17656,1892,-1292,17072,10188,-1680,17024,10824
3660,12304,9416,-6356,17796,3732,1536,16896,12280,0,18084,14020
3516,12260,9668,-4396,16688,6268,1904,16000,12500,-4,17664,12244
3032,11904,10092,-4508,14340,8108,2300,12364,12448,760,13492,10888
3332,12220,9604,-6304,11280,11520,2584,8092,14880,2240,9648,13296
3016,11944,10440,-5824,7796,12748,3512,5108,16628,2264,7240,15872
2044,11460,10568,-5568,3428,14460,2888,612,15944,2156,2724,15288
460,11532,11404,-5884,-376,13268,748,-1792,14712,1400,-268,13680
-100,11096,10496,-4280,-3284,13928,2580,-6192,12988,1348,-4472,12348
-1232,9988,11844,-4476,-7480,11744,408,-8756,11628,164,-7440,11392
-2332,9232,12140,-4212,-9456,10832,-260,-10424,10668,124,-9788,9856
-3276,8748,12024,-3424,-12148,6196,-1748,-12260,6360,180,-11604,5952
-3796,8644,11956,-3340,-13584,4948,-2668,-13844,2016,1844,-13568,-1688
-3324,8696,12688,-2992,-14048,5732,-3240,-15684,-2696,2360,-15232,-6984
-2740,8620,12292,-2404,-13332,5780,-1080,-14396,-1172,3184,-13008,-4448
-2068,9072,11724,-1820,-11284,7352,144,-11880,4384,1240,-11632,3132
-1256,8628,12028,-3052,-9068,10448,-68,-10620,9776,1080,-9728,7872
-444,10024,12020,-2736,-5284,13500,1708,-6864,13692,224,-6064,13148
916,10824,11452,-3964,-2128,15544,2064,-4452,16188,220,-3864,15084
1760,11040,10964,-4280,1328,15020,-732,-620,17024,-780,-1036,16072
2016,11820,10192,-2056,4308,14400,1776,2704,16796,-1940,2652,16744
2468,10932,10160,-3128,6584,14764,4192,2964,16984,-1356,3744,16384
3136,12176,10812,-3196,9400,13636,1956,7180,15840,-448,7096,16020
3508,11076,9844,-968,10200,13608,4100,7068,16084,-920,7220,14776
4000,12172,10892,-2064,12540,9928,2088,10492,11928,-648,10592,12460
3360,11612,9640,-952,14604,8672,3268,13276,11592,128,13376,12784
4368,12036,9352,-1168,15372,7624,3672,13956,11440,-484,13796,12004
3692,12332,8236,-1856,16680,5224,1040,15852,9408,-2724,14968,11076
3352,12612,8860,-1308,15896,3904,2388,15312,7560,-440,14976,8884
3968,12448,8656,-1132,16376,2560,1988,15672,7112,-500,15040,8772
3864,12720,8952,-3056,17752,2064,1324,16500,9196,-904,16512,9768
3468,12760,8768,-3436,17768,3316,2120,16584,10236,-740,17132,11284
3340,13392,8460,-4444,17676,6484,4100,16224,13412,828,17812,13728
2844,12316,9360,-5396,15164,8172,3492,14092,13424,1848,16428,12100
3072,12452,9660,-4520,12352,10752,4532,9552,12792,3032,12176,11488
3024,12768,9148,-4868,8096,12112,2808,6152,14704,2340,8284,13808
2180,12340,9544,-5980,4120,13588,3404,1472,15128,2864,4100,14236
476,12052,9864,-5748,404,13220,2860,-1920,14804,2476,304,14332
-512,11264,10696,-5472,-3200,12872,2176,-4624,13348,1976,-3140,12944
-944,10908,10884,-4464,-6204,11664,760,-8388,11116,1888,-6520,11060
-2208,10188,11444,-4596,-8092,11316,-20,-10772,10388,1048,-9856,9732
-2876,9508,12136,-3892,-9320,10852,96,-12448,7848,1032,-11268,8984
-3364,9448,11440,-3128,-10604,9352,-44,-13584,4260,3100,-12264,4000
-3356,8924,11724,-2784,-11652,7044,-1856,-14148,-408,3112,-14504,-2608
-2796,9200,11584,-3136,-11512,8176,-1860,-14144,120,2748,-13612,-2716
-2764,9612,11380,-3168,-10152,8672,-1004,-12024,5200,2736,-11004,3964
-2004,9852,11432,-3824,-7460,11896,176,-10152,9520,1924,-9076,8812
-1088,11316,10756,-2792,-4480,11244,972,-6404,13244,2784,-5080,14416
888,11332,11224,-3784,-136,16504,1964,-6136,15792,652,-4400,14840
1392,12028,9664,-3480,2588,14828,2076,-2016,15640,48,-412,15744
1496,11864,10704,-2632,5568,14112,3724,2200,15736,880,3584,15768
2584,11588,10892,-2412,7804,13100,2852,4788,14756,-60,6516,13888
1540,11652,10420,-2624,9952,11168,4060,9304,13976,216,9424,13788
2896,11508,10916,-1788,13320,10012,3404,12504,13844,-508,13216,15056
3200,11824,10200,-2496,16556,8336,1116,14144,11540,-2088,14232,12472
3472,11884,10400,-1784,16552,5524,3196,15852,9300,-396,15624,10604
