3020,12260,9444,-5992,3168,14108,-2796,1452,16420,-160,-2596,15696
3440,12372,9368,-7228,3380,14020,-3820,1704,16016,-524,-2304,14952
2848,12464,9292,-7340,4616,13240,-4544,1532,16044,-2384,-2316,16232
3300,12316,9328,-7868,4004,12724,-4012,1692,16120,-1260,-2088,15724
3084,12188,9572,-8348,4596,12508,-3628,1112,15724,-808,-2704,14788
2736,12080,9560,-8264,3284,12112,-3236,480,15972,-564,-3112,14804
2968,12024,9380,-8708,4572,12092,-3580,332,15356,-844,-3396,14276
3044,12040,9536,-9112,3560,12452,-3372,312,15952,1308,-3424,15120
2408,11728,9060,-9492,3936,12596,-3024,944,17232,-84,-3580,16360
2908,11836,9808,-10552,4284,11400,-3616,2120,15824,644,-2164,15804
2660,12116,9408,-10388,3924,10132,-1964,1668,15840,2552,-2192,14192
1924,12184,9684,-10424,3772,9776,-2688,1472,15596,1864,-2960,15064
2036,12636,9160,-10068,4604,12956,-3880,-1856,16792,688,-6484,15544
2804,12452,9612,-8772,4708,12500,-3608,-2772,16308,1756,-6828,15084
2088,12132,9348,-9064,4836,11384,-3164,-1500,15432,728,-5544,13808
1916,12992,8932,-10340,4908,10184,-3248,-896,15432,428,-4464,14512
2316,12348,9384,-10040,5852,11768,-2100,996,16656,2416,-4496,14572
2348,12796,8996,-9280,5644,11448,-1972,-76,16576,1864,-4492,14804
3032,12200,9420,-6592,10992,13192,-1272,832,16252,2252,-3356,13792
2860,12164,9224,-7812,4532,12828,-1052,1864,16376,1896,-2676,16260
3084,12460,9380,-7696,3920,13216,-2900,2196,16228,800,-2660,16048
3112,12232,9756,-7400,3584,12884,-2372,3036,16012,804,-3352,15756
2552,12532,8572,-7852,2292,13200,-1764,2196,15420,2100,-3044,13688
3516,12236,9464,-6292,3048,13964,-2876,2360,17004,-500,-3400,15404
2504,12728,8760,-7556,3200,13208,-1576,3356,15216,4112,-1124,15688
2236,13156,8520,-5620,2900,14516,-184,3180,16428,2548,-1916,15536
2496,13264,8656,-5276,2968,15064,-1152,3332,16836,1300,-2284,16476
2156,13140,8508,-5216,3048,14140,-860,3168,15976,1936,-1928,15212
2488,13108,8544,-4876,2652,14580,-240,2696,16212,2864,-2368,15244
2488,13108,8544,-4876,2652,14580,-240,2696,16212,2864,-2368,15244
2616,12540,9204,-7384,3420,13440,-2992,3056,15968,-536,196,16196
2612,12580,8988,-7028,4316,13460,-4900,2536,15908,-940,-160,15892
3308,12796,8948,-8200,4308,12504,-3516,2848,15556,-932,228,15428
2692,12728,9136,-7148,5192,13192,-2980,1672,15616,-1232,-912,15228
3208,12464,9172,-8216,5340,12948,-3168,1488,16456,-1148,-860,15996
2660,12816,9248,-7384,6264,11864,-2912,1740,15280,-1496,-348,14968
3124,12320,9464,-8732,4792,11592,-3524,1540,15796,-156,-1688,14360
3048,12320,8988,-10728,6240,12880,-1924,1504,17152,-884,-1456,16976
2684,12460,9072,-9744,6476,11072,-1564,1136,16312,1000,-704,14988
2472,12808,9412,-10500,6500,10248,-1368,1464,16068,456,-1408,16696
2832,12440,8896,-10648,7316,10536,-1516,1192,16620,876,-2324,14888
3264,12764,9112,-11548,7000,9900,-2824,2184,16636,-1528,-1384,16528
3300,12588,9116,-12172,7040,8508,-1528,2292,16016,808,-1436,14652
2512,13024,9024,-10596,6132,8628,-2880,472,15336,-1244,-2612,15428
3100,12328,8936,-10632,7048,10744,-1724,-848,16072,1672,-4204,13164
3096,12532,8948,-10188,7152,10000,-3104,-848,16548,-624,-4060,16260
2800,12516,9392,-10592,7900,10728,-2136,-296,16740,-232,-3860,14388
2796,12540,9096,-9764,9468,9860,-1948,1196,16856,-292,-2980,16804
2544,12428,9560,-9460,7668,10520,-1320,1784,16516,700,-1856,15872
2892,12616,9236,-9200,7880,10808,-1924,2368,16572,452,-3372,15252
2288,12544,9224,-7960,7488,12528,-1084,1836,16756,1280,-3836,15028
2832,12312,9320,-7012,5492,12624,-1884,1288,16440,68,-4140,15248
2928,12260,9416,-7852,5132,12152,-1804,2800,15368,2028,-2532,14852
2900,12360,9412,-6804,5384,13456,-1632,2460,15536,2200,-2428,14068
2880,12152,9580,-6220,3768,12944,-2280,2284,15356,24,-2604,14756
3104,12228,9128,-6480,3564,14144,-1348,3520,16064,1300,-1496,14068
2932,12500,9296,-6852,3400,13912,-1500,3764,16428,2544,-1276,17152
3116,12352,9228,-4892,3392,14388,-1792,3580,16152,-108,-1836,15904
3028,12484,9160,-4192,3376,14648,-1032,3476,16256,460,-1808,16072
3028,12484,9160,-4192,3376,14648,-1032,3476,16256,460,-1808,16072
1488,12472,9092,-6440,708,13564,-2896,632,14852,-740,-1652,12504
2012,12260,9536,-7144,676,13932,-4112,968,16048,-1580,-1376,15748
2068,12228,9996,-7040,968,14680,-3804,1040,16764,-1024,-880,17012
1936,12400,9572,-7592,1532,13488,-4236,1968,15768,-1244,-124,15908
2028,12276,9592,-8856,2044,13036,-4992,2484,15744,-1864,80,15664
2400,12772,9076,-7320,3004,13940,-3988,972,15996,-1064,-392,14640
2640,12404,9460,-7424,3004,12988,-3776,864,15864,-1792,-396,15408
2852,12748,9136,-8252,3800,12972,-3956,1404,16368,-2172,-960,15572
2688,12576,9388,-8104,4060,12788,-3760,524,15884,-1788,-1864,15196
2884,12436,8932,-9200,3724,13584,-3524,176,16224,-944,-2092,15000
2456,12496,9092,-10028,13568,10800,-4120,896,15356,-2384,-1032,15740
2900,12436,9376,-9284,3720,11548,-3484,1244,15956,32,-1072,14924
2240,12508,9020,-10248,5732,11536,-2604,576,16268,-1404,-852,15536
2384,12372,9188,-10160,5092,11000,-3172,232,16276,-928,-1072,16016
2556,12496,9552,-9956,5172,11060,-2316,-808,16876,132,-1640,15636
2524,12492,9252,-11672,6476,11544,-2836,-84,16960,-364,-1716,15988
2176,12948,8736,-8928,5456,11052,-3460,-2640,16264,-160,-4076,16880
3040,12740,8840,-8876,5500,11504,-1716,-2836,15236,2000,-4436,13308
2412,13192,8576,-8412,6060,10700,-3044,-2332,15012,596,-4640,14036
2292,12320,9220,-10384,7656,11476,-1432,440,16656,1252,-2900,16116
2104,12896,9156,-9672,8116,11300,-2340,2484,16368,-1192,-3216,16456
2272,12648,8816,-9632,6208,11068,-964,2984,16392,1144,-1940,15532
2748,12576,9268,-8816,6076,11424,-1596,3704,16500,2108,-632,16844
2652,12724,8912,-7888,5428,12056,-2364,3204,16024,908,-1176,15788
2700,12628,9216,-7620,4512,13144,-1540,2116,15972,1216,-2068,14904
2280,12492,9188,-7860,4672,12948,-1952,2800,15560,1652,-1432,15160
2352,12692,9116,-7176,3728,13532,-1644,2632,15976,1396,-1584,15104
2388,12388,9536,-6440,4312,14160,-2044,3252,16176,852,-436,16684
1828,12556,9616,-6272,3172,13692,-1584,3504,16352,1832,-412,16084
1368,12980,8844,-5808,3244,14444,-624,3240,15932,3816,-372,15008
2220,12708,8932,-4596,2708,14552,-1220,2256,16112,312,-100,15628
2204,12772,8884,-5200,2292,14000,-1536,2604,15904,388,236,15580
2324,12500,9116,-5368,3380,13700,-1840,2884,15748,-324,408,15600
2592,12788,9168,-5392,4236,14552,-1432,2356,16268,12,172,15720
3448,12676,9392,-6052,4460,14208,-2144,1752,16640,-488,228,16208
2956,12708,8684,-5996,4724,13876,-1292,1268,16256,436,-404,14740
3016,12704,8768,-6488,5108,13228,-1712,880,16280,-400,-824,15144
2744,12764,8832,-6896,5200,13132,-2160,1008,16648,-524,-764,16748
2868,12568,9032,-7964,5244,13068,-2464,452,16460,-752,-984,15736
2840,12808,8860,-8468,5816,12748,-3152,504,16320,-1332,-1188,15524
2316,12364,9240,-8356,4672,11776,-2784,228,14976,-916,-1256,14236
2256,12840,8608,-9124,5008,11380,-3208,980,15112,-988,-228,15848
1992,12508,8844,-9832,5212,11500,-3144,1216,15564,-760,-532,15500
2468,12700,9072,-10000,5344,10888,-2480,748,16112,-40,-976,15624
1824,12636,8892,-9720,6988,10708,-1132,-316,15608,240,-1300,14256
2732,12868,9652,-10492,6944,11348,-2424,124,16628,208,-1500,15452
2792,12804,8748,-10628,7132,10436,-1192,-548,16276,1068,-2460,14948
2516,13176,8612,-8668,6952,11420,-1616,-2680,16944,1388,-4056,17500
3200,12564,9340,-9680,7256,11872,-1428,-1824,17084,1684,-3160,16156
2468,12760,8780,-8408,7176,11252,-992,-2348,16060,1244,-3952,15048
2640,12840,8744,-9344,6996,11108,-1332,-708,16288,768,-2560,14708
2164,12564,8924,-9548,5748,10932,-1512,-388,16220,-272,-1972,15252
2516,12836,8840,-8776,6924,12292,-1732,52,15936,-876,-2044,15884
2476,12720,8940,-7412,6840,13032,-1360,56,15992,608,-2936,14988
3096,13140,8616,-7608,5268,12876,-512,876,16316,1104,-2324,15440
2752,12900,8752,-6480,5252,13836,-884,1028,16636,1552,-2236,15596
2932,12796,8612,-6684,4524,12864,-1208,1692,16288,1396,-1444,15896
2496,12756,9240,-6580,4096,14712,-676,732,16316,352,-2632,14492
3652,12744,9344,-6656,3488,13028,-1408,2452,15160,1584,-472,15216
2400,12640,9388,-5524,2924,13812,-912,2552,15852,1032,-1036,15448
2464,12400,9704,-3948,2436,15216,-1860,2232,16908,-1140,-284,16572
2488,12464,9220,-4392,2628,14704,-2136,2512,16184,-1264,292,15960
2932,12480,9308,-5348,2496,14032,-2616,2716,16312,-828,-352,15268
